20
348 29712
2 1 619
3 1 764
3 2 471
4 3 648
4 1 385
5 4 429
5 1 961
6 5 263
6 2 751
6 1 98
7 5 937
7 6 3
7 4 210
8 3 61
8 1 255
8 2 630
9 7 548
9 6 685
9 2 931
10 6 660
11 5 300
11 8 743
11 1 297
11 4 620
11 2 873
11 7 196
11 10 486
12 1 24
12 5 304
13 9 44
13 10 873
13 5 682
13 3 821
14 12 156
14 6 96
14 3 860
14 9 384
15 2 163
15 9 318
15 1 441
15 14 267
15 4 203
16 15 939
16 13 757
16 1 912
16 6 43
16 5 249
16 10 81
16 2 637
16 4 941
16 3 89
16 9 421
16 12 283
16 8 970
16 14 648
16 11 388
17 10 864
17 1 103
17 6 721
17 11 289
18 5 289
18 14 429
18 17 721
18 4 926
18 13 591
18 11 906
18 8 926
18 3 441
18 16 741
18 15 305
19 6 288
19 15 510
19 9 766
19 14 247
19 1 823
19 2 567
19 17 269
19 4 711
19 11 550
19 16 776
19 3 834
19 18 150
19 5 74
19 10 30
20 12 120
20 17 287
20 10 313
20 16 203
20 7 989
20 18 946
20 19 391
20 2 885
21 2 726
21 18 272
21 5 804
21 14 313
21 11 251
22 8 998
22 9 363
23 8 423
23 13 467
23 21 264
23 12 237
23 1 512
23 20 755
23 11 294
23 9 563
23 2 32
23 18 470
23 15 778
23 14 613
23 7 109
23 10 492
23 4 954
24 17 110
24 11 961
24 22 934
24 5 16
24 15 866
24 18 626
24 23 133
25 24 932
25 2 546
25 9 564
25 8 940
25 21 87
25 11 766
26 11 31
26 13 878
26 4 848
27 26 120
27 5 638
27 4 305
27 8 570
27 17 507
28 15 733
28 22 664
28 26 858
28 17 889
28 1 351
28 4 32
28 3 360
28 5 95
28 13 731
28 27 732
28 21 484
28 16 395
28 23 695
28 11 223
28 19 712
28 6 658
28 9 396
28 25 81
28 2 392
28 8 367
28 24 995
28 18 38
28 12 150
28 14 555
28 7 677
28 10 97
29 24 985
29 26 929
29 13 364
29 10 70
29 5 80
29 16 813
29 28 656
29 2 394
29 6 139
29 3 1
29 21 107
29 15 859
29 7 637
29 4 842
29 11 627
29 27 723
29 17 972
29 23 367
29 9 140
29 12 658
30 8 923
31 21 980
31 5 807
31 3 352
31 28 322
31 13 9
31 18 263
31 30 906
31 24 873
32 31 304
32 19 373
32 14 33
32 10 211
32 29 262
32 20 55
32 21 765
32 2 42
32 11 92
32 12 50
32 17 899
32 3 927
32 4 182
32 24 174
32 16 896
32 30 708
32 7 450
32 26 741
32 28 502
32 13 980
32 6 885
32 18 645
32 1 571
32 25 286
32 9 699
32 27 376
33 18 235
33 4 590
33 7 690
33 30 799
33 8 64
33 10 276
33 27 898
33 23 739
33 24 395
33 1 987
33 29 536
33 9 260
33 6 705
33 3 668
33 22 718
33 26 574
33 31 823
33 11 763
33 12 734
33 5 627
33 21 535
33 2 479
34 21 250
34 9 433
34 18 995
34 4 825
34 12 304
34 25 667
34 30 774
34 19 711
34 27 691
34 26 604
34 15 672
34 24 550
34 16 835
34 29 572
34 11 721
34 28 925
34 14 138
35 5 479
35 10 755
35 12 465
35 11 613
35 13 662
35 3 99
35 18 864
35 9 758
35 19 660
35 14 158
35 34 589
35 7 791
35 32 240
36 1 964
36 34 200
36 3 787
36 21 710
36 29 765
36 6 132
36 31 349
36 10 546
36 2 806
36 7 571
36 16 374
36 12 420
36 17 261
37 26 280
37 36 613
37 11 14
37 24 675
37 10 895
37 2 856
37 25 912
37 8 300
37 1 74
37 35 180
37 18 888
37 19 415
37 34 411
38 19 246
38 15 767
38 29 271
38 6 509
38 5 290
38 8 822
38 28 971
38 12 571
38 11 226
39 24 511
39 18 655
39 35 836
39 6 672
39 17 646
39 31 55
39 27 205
39 3 626
39 4 538
39 9 395
39 29 534
39 28 707
39 5 132
39 16 400
39 7 176
39 36 906
39 22 112
39 1 803
39 2 219
39 37 898
39 11 658
39 30 714
39 23 969
39 20 793
39 33 959
39 26 373
39 12 437
39 8 45
39 38 301
39 14 985
40 31 208
40 36 659
40 5 392
40 17 803
40 6 301
40 2 74
40 22 906
40 4 946
40 32 568
40 37 433
41 15 136
41 2 112
41 32 822
41 35 790
41 38 262
41 39 239
41 3 854
41 28 149
41 26 885
41 22 306
41 40 125
41 13 182
41 30 19
41 4 769
42 21 620
42 15 330
42 32 927
42 6 926
42 33 372
42 34 689
42 39 810
42 29 959
42 27 318
43 34 588
43 5 169
43 41 97
43 8 443
43 39 326
43 13 556
43 19 706
43 28 922
43 3 703
43 12 478
43 27 53
43 16 205
43 11 904
43 9 331
43 22 955
43 31 74
43 33 351
43 30 546
43 2 695
44 4 333
44 39 606
44 33 782
44 12 677
44 27 431
44 31 743
44 6 283
44 42 133
44 3 223
44 22 773
44 41 828
44 34 963
44 16 286
44 25 506
44 20 374
44 14 58
44 18 389
44 29 735
44 2 729
44 13 790
44 26 985
44 7 727
44 30 531
44 35 523
44 36 707
45 30 911
45 40 439
45 42 93
45 39 359
45 16 808
45 43 359
45 41 693
45 12 977
45 13 513
45 38 242
45 27 517
45 14 869
45 20 132
45 37 117
45 24 42
45 28 954
46 16 501
46 2 100
46 3 339
46 13 342
46 14 250
46 6 988
46 17 164
46 26 779
46 36 206
46 37 860
46 30 972
46 12 246
46 19 352
46 11 318
46 40 823
46 31 319
46 4 123
46 43 347
46 35 562
46 24 128
46 10 401
46 39 126
46 41 237
46 44 633
46 23 200
46 42 226
46 34 240
46 9 495
46 45 271
46 7 752
47 39 672
47 17 703
47 34 771
47 7 400
47 16 444
47 20 885
47 37 794
47 12 608
47 6 886
47 38 224
47 44 379
47 24 524
47 8 877
48 14 998
48 7 334
48 22 331
48 24 14
48 17 605
48 29 73
48 46 692
48 20 533
49 14 962
49 16 529
49 13 567
49 25 682
49 9 895
49 19 186
49 40 160
49 26 691
49 17 407
49 44 518
49 3 577
49 48 601
49 22 395
49 35 703
49 39 809
49 46 120
49 11 264
49 42 445
49 15 647
49 38 966
49 47 952
49 41 841
49 37 106
49 29 338
49 32 722
49 24 879
49 36 440
49 31 400
49 34 247
49 43 407
49 2 893
49 30 418
49 28 315
49 7 612
49 33 197
49 18 505
49 23 849
49 20 880
49 4 52
49 8 831
49 27 664
49 10 197
49 1 67
49 21 527
49 5 886
49 45 395
49 12 498
50 45 78
50 25 742
51 45 297
51 38 746
51 15 847
51 49 477
51 7 448
51 40 474
51 9 316
51 4 324
51 22 627
51 27 894
51 18 237
51 30 162
51 37 150
51 3 409
51 39 13
51 1 669
