10
2 1
1 2 4
3 3
1 2 4
2 3 3
3 1 2
5 7
1 2 1
2 3 3
2 4 4
1 4 2
5 3 7
5 1 6
4 5 5
100 99
1 2 1
2 3 2
3 4 3
4 5 4
5 6 5
6 7 6
7 8 7
8 9 8
9 10 9
10 11 10
11 12 11
12 13 12
13 14 13
14 15 14
15 16 15
16 17 16
17 18 17
18 19 18
19 20 19
20 21 20
21 22 21
22 23 22
23 24 23
24 25 24
25 26 25
26 27 26
27 28 27
28 29 28
29 30 29
30 31 30
31 32 31
32 33 32
33 34 33
34 35 34
35 36 35
36 37 36
37 38 37
38 39 38
39 40 39
40 41 40
41 42 41
42 43 42
43 44 43
44 45 44
45 46 45
46 47 46
47 48 47
48 49 48
49 50 49
50 51 50
51 52 51
52 53 52
53 54 53
54 55 54
55 56 55
56 57 56
57 58 57
58 59 58
59 60 59
60 61 60
61 62 61
62 63 62
63 64 63
64 65 64
65 66 65
66 67 66
67 68 67
68 69 68
69 70 69
70 71 70
71 72 71
72 73 72
73 74 73
74 75 74
75 76 75
76 77 76
77 78 77
78 79 78
79 80 79
80 81 80
81 82 81
82 83 82
83 84 83
84 85 84
85 86 85
86 87 86
87 88 87
88 89 88
89 90 89
90 91 90
91 92 91
92 93 92
93 94 93
94 95 94
95 96 95
96 97 96
97 98 97
98 99 98
99 100 99
100 100
1 2 1
2 3 2
3 4 3
4 5 4
5 6 5
6 7 6
7 8 7
8 9 8
9 10 9
10 11 10
11 12 11
12 13 12
13 14 13
14 15 14
15 16 15
16 17 16
17 18 17
18 19 18
19 20 19
20 21 20
21 22 21
22 23 22
23 24 23
24 25 24
25 26 25
26 27 26
27 28 27
28 29 28
29 30 29
30 31 30
31 32 31
32 33 32
33 34 33
34 35 34
35 36 35
36 37 36
37 38 37
38 39 38
39 40 39
40 41 40
41 42 41
42 43 42
43 44 43
44 45 44
45 46 45
46 47 46
47 48 47
48 49 48
49 50 49
50 51 50
51 52 51
52 53 52
53 54 53
54 55 54
55 56 55
56 57 56
57 58 57
58 59 58
59 60 59
60 61 60
61 62 61
62 63 62
63 64 63
64 65 64
65 66 65
66 67 66
67 68 67
68 69 68
69 70 69
70 71 70
71 72 71
72 73 72
73 74 73
74 75 74
75 76 75
76 77 76
77 78 77
78 79 78
79 80 79
80 81 80
81 82 81
82 83 82
83 84 83
84 85 84
85 86 85
86 87 86
87 88 87
88 89 88
89 90 89
90 91 90
91 92 91
92 93 92
93 94 93
94 95 94
95 96 95
96 97 96
97 98 97
98 99 98
99 100 99
100 1 100
100 196
1 2 1
1 3 102
2 3 2
2 4 103
3 4 3
3 5 104
4 5 4
4 6 105
5 6 5
5 7 106
6 7 6
6 8 107
7 8 7
7 9 108
8 9 8
8 10 109
9 10 9
9 11 110
10 11 10
10 12 111
11 12 11
11 13 112
12 13 12
12 14 113
13 14 13
13 15 114
14 15 14
14 16 115
15 16 15
15 17 116
16 17 16
16 18 117
17 18 17
17 19 118
18 19 18
18 20 119
19 20 19
19 21 120
20 21 20
20 22 121
21 22 21
21 23 122
22 23 22
22 24 123
23 24 23
23 25 124
24 25 24
24 26 125
25 26 25
25 27 126
26 27 26
26 28 127
27 28 27
27 29 128
28 29 28
28 30 129
29 30 29
29 31 130
30 31 30
30 32 131
31 32 31
31 33 132
32 33 32
32 34 133
33 34 33
33 35 134
34 35 34
34 36 135
35 36 35
35 37 136
36 37 36
36 38 137
37 38 37
37 39 138
38 39 38
38 40 139
39 40 39
39 41 140
40 41 40
40 42 141
41 42 41
41 43 142
42 43 42
42 44 143
43 44 43
43 45 144
44 45 44
44 46 145
45 46 45
45 47 146
46 47 46
46 48 147
47 48 47
47 49 148
48 49 48
48 50 149
49 50 49
49 51 150
50 51 50
50 52 151
51 52 51
51 53 152
52 53 52
52 54 153
53 54 53
53 55 154
54 55 54
54 56 155
55 56 55
55 57 156
56 57 56
56 58 157
57 58 57
57 59 158
58 59 58
58 60 159
59 60 59
59 61 160
60 61 60
60 62 161
61 62 61
61 63 162
62 63 62
62 64 163
63 64 63
63 65 164
64 65 64
64 66 165
65 66 65
65 67 166
66 67 66
66 68 167
67 68 67
67 69 168
68 69 68
68 70 169
69 70 69
69 71 170
70 71 70
70 72 171
71 72 71
71 73 172
72 73 72
72 74 173
73 74 73
73 75 174
74 75 74
74 76 175
75 76 75
75 77 176
76 77 76
76 78 177
77 78 77
77 79 178
78 79 78
78 80 179
79 80 79
79 81 180
80 81 80
80 82 181
81 82 81
81 83 182
82 83 82
82 84 183
83 84 83
83 85 184
84 85 84
84 86 185
85 86 85
85 87 186
86 87 86
86 88 187
87 88 87
87 89 188
88 89 88
88 90 189
89 90 89
89 91 190
90 91 90
90 92 191
91 92 91
91 93 192
92 93 92
92 94 193
93 94 93
93 95 194
94 95 94
94 96 195
95 96 95
95 97 196
